Nombre,URL
"Argentina, Entre Ríos","https://colnect.com/es/coins/list/country/1795-Argentina_Entre_R%C3%ADos"
"Argentina, Tucumán","https://colnect.com/es/coins/list/country/1792-Argentina_Tucum%C3%A1n"
"Austria remota","https://colnect.com/es/coins/list/country/2192-Austria_remota"
"Garsten","https://colnect.com/es/coins/list/country/2194-Garsten"
"Klosterneuburg","https://colnect.com/es/coins/list/country/2197-Klosterneuburg"
"Orsini-Rosenberg","https://colnect.com/es/coins/list/country/2200-Orsini-Rosenberg"
"Isla Principe Edward","https://colnect.com/es/coins/list/country/429-Isla_Principe_Edward"
"Islas de Francia y Bonaparte","https://colnect.com/es/coins/list/country/296-Islas_de_Francia_y_Bonaparte"
"Cabo de Buena Esperanza","https://colnect.com/es/coins/list/country/376-Cabo_de_Buena_Esperanza"
"Chur, Obispado de","https://colnect.com/es/coins/list/country/2270-Chur_Obispado_de"
"Einsiedeln","https://colnect.com/es/coins/list/country/2272-Einsiedeln"
"Lausana","https://colnect.com/es/coins/list/country/2283-Lausana"
"Trinidad","https://colnect.com/es/coins/list/country/336-Trinidad"
"Venezuela, Margarita","https://colnect.com/es/coins/list/country/2210-Venezuela_Margarita"
"Reino Indo-Hephthalite","https://colnect.com/es/coins/list/country/396-Reino_Indo-Hephthalite"
